group,subject,trial,choice,reward,Q1,Q2,pA
1,1,48,2,0,0.418174827188776,0.138353101228532,0.636370037922808
1,1,49,1,1,0.250904896313265,0.0830118607371191,0.583166547473734
1,1,50,2,0,0.550542937787959,0.0498071164422714,0.731347822739081
1,1,51,2,1,0.330325762672776,0.0298842698653629,0.64585829342783
1,1,52,1,0,0.198195457603665,0.417930561919218,0.391867215169312
1,1,53,2,1,0.118917274562199,0.250758337151531,0.434458776664936
1,1,54,1,0,0.0713503647373195,0.550455002290918,0.2772368710459
1,1,55,2,1,0.0428102188423917,0.330273001374551,0.360101054998238
1,1,56,2,0,0.025686131305435,0.598163800824731,0.241411716882252
1,1,57,2,1,0.015411678783261,0.358898280494838,0.334706737117267
1,1,58,1,1,0.00924700726995661,0.615338968296903,0.229314859235834
1,1,59,2,1,0.405548204361974,0.369203380978142,0.518164414324883
1,1,60,2,1,0.243328922617184,0.621522028586885,0.319431372395554
1,1,61,2,1,0.145997353570311,0.772913217152131,0.222037553343376
1,1,62,2,1,0.0875984121421864,0.863747930291279,0.174754463898839
1,1,63,2,1,0.0525590472853118,0.918248758174767,0.15041122161138
1,1,64,2,1,0.0315354283711871,0.95094925490486,0.137190002984548
1,1,65,2,1,0.0189212570227122,0.970569552942916,0.129735819989112
1,1,66,2,1,0.0113527542136273,0.98234173176575,0.125430718283849
1,1,67,1,0,0.00681165252817641,0.98940503905945,0.122906815142268
1,1,68,2,1,0.00408699151690585,0.59364302343567,0.23521188707915
1,1,69,2,1,0.00245219491014351,0.756185814061402,0.181314451670748
1,1,70,2,1,0.0014713169460861,0.853711488436841,0.153881012009538
1,1,71,2,1,0.000882790167651662,0.912226893062105,0.13911162213378
1,1,72,2,1,0.000529674100590997,0.947336135837263,0.130833074763798
1,1,73,2,1,0.000317804460354598,0.968401681502358,0.126069473202359
1,1,74,2,0,0.000190682676212759,0.981041008901415,0.123283115789737
1,1,75,1,0,0.000114409605727655,0.588624605340849,0.235588360652817
1,1,76,2,1,6.86457634365933e-05,0.353174763204509,0.330436337371933
1,1,77,2,1,4.1187458061956e-05,0.611904857922706,0.227281173063023
1,1,78,2,1,2.47124748371736e-05,0.767142914753623,0.177374694565913
1,1,79,2,1,1.48274849023041e-05,0.860285748852174,0.15180138405594
1,1,80,2,1,8.89649094138248e-06,0.916171449311304,0.137961519845823
1,1,81,2,0,5.33789456482949e-06,0.949702869586783,0.130176956567538
1,1,82,2,0,3.20273673889769e-06,0.56982172175207,0.242387007483317
1,1,83,2,1,1.92164204333862e-06,0.341893033051242,0.335417673112552
1,1,84,1,0,1.15298522600317e-06,0.605135819830745,0.229653398929378
1,1,85,2,1,6.91791135601902e-07,0.363081491898447,0.326037602340694
1,1,86,2,0,4.15074681361141e-07,0.617848895139068,0.225185880142791
1,1,87,2,1,2.49044808816685e-07,0.370709337083441,0.322694105575247
1,1,88,2,0,1.49426885290011e-07,0.622425602250064,0.22359274423497
1,1,89,2,0,8.96561311740064e-08,0.373455361350039,0.321494850271385
1,1,90,2,0,5.37936787044039e-08,0.224073216810023,0.389801583925963
1,1,91,1,1,3.22762072226423e-08,0.134443930086014,0.433180159936685
1,1,92,2,1,0.400000019365724,0.0806663580516083,0.654452144967753
1,1,93,2,1,0.240000011619435,0.448399814830965,0.397282829270838
1,1,94,2,0,0.144000006971661,0.669039888898579,0.259209784262722
1,1,95,2,1,0.0864000041829964,0.401423933339147,0.347499686159439
1,1,96,2,1,0.0518400025097979,0.640854360003488,0.235406823630311
1,1,97,1,0,0.0311040015058787,0.784512616002093,0.181410958729471
1,1,98,1,0,0.0186624009035272,0.470707569601256,0.288210657613667
1,1,99,1,0,0.0111974405421163,0.282424541760753,0.367616857140701
1,1,100,1,0,0.0067184643252698,0.169454725056452,0.419342634471299
1,1,101,1,1,0.00403107859516188,0.101672835033871,0.451333683704119
1,1,102,1,1,0.402418647157097,0.0610037010203227,0.664370007092436
1,1,103,1,1,0.641451188294258,0.0366022206121936,0.770245497825864
1,1,104,1,1,0.784870712976555,0.0219613323673162,0.821393725194393
1,1,105,1,0,0.870922427785933,0.0131767994203897,0.847547169732999
1,1,106,2,1,0.52255345667156,0.00790607965223383,0.7367791463506
1,1,107,2,0,0.313532074002936,0.40474364779134,0.454520266864385
1,1,108,2,0,0.188119244401761,0.242846188674804,0.472663813392333
1,1,109,2,0,0.112871546641057,0.145707713204883,0.48358781490914
1,1,110,2,0,0.0677229279846341,0.0874246279229295,0.490150424391718
1,1,111,1,1,0.0406337567907805,0.0524547767537577,0.494089765307809
1,1,112,1,1,0.424380254074468,0.0314728660522546,0.686931976158545
1,1,113,2,0,0.654628152444681,0.0188837196313528,0.780997510620391
1,1,114,1,1,0.392776891466809,0.0113302317788117,0.681981574865486
1,1,115,1,0,0.635666134880085,0.006798139067287,0.778636125153771
1,1,116,1,1,0.381399680928051,0.0040788834403722,0.680189237230121
1,1,117,1,1,0.628839808556831,0.00244733006422332,0.777781578234291
1,1,118,1,1,0.777303885134098,0.00146839803853399,0.82515494140687
1,1,119,1,1,0.866382331080459,0.000881038823120395,0.849540616882481
1,1,120,1,1,0.919829398648275,0.000528623293872237,0.862783231331079
1,1,121,1,1,0.951897639188965,0.000317173976323342,0.870248862465805
1,1,122,2,1,0.971138583513379,0.000190304385794005,0.874560352384312
1,1,123,1,1,0.582683150108027,0.400114182631476,0.590283611758034
1,1,124,1,1,0.749609890064816,0.240068509578886,0.734793893919898
1,1,125,1,0,0.84976593403889,0.144041105747332,0.803994491850349
